origin_date,target,target_end_date,horizon,location,output_type,output_type_id,value
2026/3/18,ILI incidence,2026/3/15,1,BE,quantile,0.7,121.956153
2026/3/18,ILI incidence,2026/3/22,2,BE,quantile,0.7,129.1623675
2026/3/18,ILI incidence,2026/3/29,3,BE,quantile,0.7,142.0476244
2026/3/18,ILI incidence,2026/4/5,4,BE,quantile,0.7,158.5602741
2026/3/18,ILI incidence,2026/3/15,1,BE,quantile,0.75,130.7120406
2026/3/18,ILI incidence,2026/3/22,2,BE,quantile,0.75,140.0010557
2026/3/18,ILI incidence,2026/3/29,3,BE,quantile,0.75,154.4026548
2026/3/18,ILI incidence,2026/4/5,4,BE,quantile,0.75,171.9633238
2026/3/18,ILI incidence,2026/3/15,1,BE,quantile,0.8,139.654176
2026/3/18,ILI incidence,2026/3/22,2,BE,quantile,0.8,151.0702953
2026/3/18,ILI incidence,2026/3/29,3,BE,quantile,0.8,167.0204909
2026/3/18,ILI incidence,2026/4/5,4,BE,quantile,0.8,185.6514719
2026/3/18,ILI incidence,2026/3/15,1,BE,quantile,0.85,148.832416
2026/3/18,ILI incidence,2026/3/22,2,BE,quantile,0.85,162.4318026
2026/3/18,ILI incidence,2026/3/29,3,BE,quantile,0.85,179.9714833
2026/3/18,ILI incidence,2026/4/5,4,BE,quantile,0.85,199.7010364
2026/3/18,ILI incidence,2026/3/15,1,BE,quantile,0.9,158.3052265
2026/3/18,ILI incidence,2026/3/22,2,BE,quantile,0.9,174.1579512
2026/3/18,ILI incidence,2026/3/29,3,BE,quantile,0.9,193.3381306
2026/3/18,ILI incidence,2026/4/5,4,BE,quantile,0.9,214.2015138
2026/3/18,ILI incidence,2026/3/15,1,BE,quantile,0.95,168.1429703
2026/3/18,ILI incidence,2026/3/22,2,BE,quantile,0.95,186.3358413
2026/3/18,ILI incidence,2026/3/29,3,BE,quantile,0.95,207.2197185
2026/3/18,ILI incidence,2026/4/5,4,BE,quantile,0.95,229.2606117
2026/3/18,ILI incidence,2026/3/15,1,BE,quantile,0.975,173.2250563
2026/3/18,ILI incidence,2026/3/22,2,BE,quantile,0.975,192.626825
2026/3/18,ILI incidence,2026/3/29,3,BE,quantile,0.975,214.3908164
2026/3/18,ILI incidence,2026/4/5,4,BE,quantile,0.975,237.0400003
2026/3/18,ILI incidence,2026/3/15,1,BE,quantile,0.99,176.3336548
2026/3/18,ILI incidence,2026/3/22,2,BE,quantile,0.99,196.4748791
2026/3/18,ILI incidence,2026/3/29,3,BE,quantile,0.99,218.7772167
2026/3/18,ILI incidence,2026/4/5,4,BE,quantile,0.99,241.7984784
2026/3/18,ILI incidence,2026/3/15,1,BE,median,,87.98154811
2026/3/18,ILI incidence,2026/3/22,2,BE,median,,87.10607757
2026/3/18,ILI incidence,2026/3/29,3,BE,median,,94.1076217
2026/3/18,ILI incidence,2026/4/5,4,BE,median,,106.5537455
2026/3/18,ILI incidence,2026/3/15,1,CZ,quantile,0.01,5.707948236
2026/3/18,ILI incidence,2026/3/22,2,CZ,quantile,0.01,2.408363212
2026/3/18,ILI incidence,2026/3/29,3,CZ,quantile,0.01,1.097452355
2026/3/18,ILI incidence,2026/4/5,4,CZ,quantile,0.01,1.146877955
2026/3/18,ILI incidence,2026/3/15,1,CZ,quantile,0.025,6.199898726
2026/3/18,ILI incidence,2026/3/22,2,CZ,quantile,0.025,3.073171507
2026/3/18,ILI incidence,2026/3/29,3,CZ,quantile,0.025,1.88297862
2026/3/18,ILI incidence,2026/4/5,4,CZ,quantile,0.025,2.007644653
2026/3/18,ILI incidence,2026/3/15,1,CZ,quantile,0.05,7.004163019
2026/3/18,ILI incidence,2026/3/22,2,CZ,quantile,0.05,4.160032044
2026/3/18,ILI incidence,2026/3/29,3,CZ,quantile,0.05,3.167194692
2026/3/18,ILI incidence,2026/4/5,4,CZ,quantile,0.05,3.4148674
2026/3/18,ILI incidence,2026/3/15,1,CZ,quantile,0.1,8.561032757
2026/3/18,ILI incidence,2026/3/22,2,CZ,quantile,0.1,6.263942778
2026/3/18,ILI incidence,2026/3/29,3,CZ,quantile,0.1,5.653140117
2026/3/18,ILI incidence,2026/4/5,4,CZ,quantile,0.1,6.138925312
2026/3/18,ILI incidence,2026/3/15,1,CZ,quantile,0.15,10.06015007
2026/3/18,ILI incidence,2026/3/22,2,CZ,quantile,0.15,8.289808486
2026/3/18,ILI incidence,2026/3/29,3,CZ,quantile,0.15,8.046868856
2026/3/18,ILI incidence,2026/4/5,4,CZ,quantile,0.15,8.761933702
2026/3/18,ILI incidence,2026/3/15,1,CZ,quantile,0.2,11.51265021
2026/3/18,ILI incidence,2026/3/22,2,CZ,quantile,0.2,10.25267703
2026/3/18,ILI incidence,2026/3/29,3,CZ,quantile,0.2,10.36616121
2026/3/18,ILI incidence,2026/4/5,4,CZ,quantile,0.2,11.30337593
2026/3/18,ILI incidence,2026/3/15,1,CZ,quantile,0.25,12.92778568
2026/3/18,ILI incidence,2026/3/22,2,CZ,quantile,0.25,12.16505198
2026/3/18,ILI incidence,2026/3/29,3,CZ,quantile,0.25,12.62579119
2026/3/18,ILI incidence,2026/4/5,4,CZ,quantile,0.25,13.77944112
2026/3/18,ILI incidence,2026/3/15,1,CZ,quantile,0.3,14.31344654
2026/3/18,ILI incidence,2026/3/22,2,CZ,quantile,0.3,14.03759577
2026/3/18,ILI incidence,2026/3/29,3,CZ,quantile,0.3,14.83835733
2026/3/18,ILI incidence,2026/4/5,4,CZ,quantile,0.3,16.20393453
2026/3/18,ILI incidence,2026/3/15,1,CZ,quantile,0.35,15.67653556
2026/3/18,ILI incidence,2026/3/22,2,CZ,quantile,0.35,15.8796366
2026/3/18,ILI incidence,2026/3/29,3,CZ,quantile,0.35,17.01488169
2026/3/18,ILI incidence,2026/4/5,4,CZ,quantile,0.35,18.58893395
2026/3/18,ILI incidence,2026/3/15,1,CZ,quantile,0.4,17.0232494
2026/3/18,ILI incidence,2026/3/22,2,CZ,quantile,0.4,17.69954846
2026/3/18,ILI incidence,2026/3/29,3,CZ,quantile,0.4,19.16525884
2026/3/18,ILI incidence,2026/4/5,4,CZ,quantile,0.4,20.9452817
2026/3/18,ILI incidence,2026/3/15,1,CZ,quantile,0.45,18.35929874
2026/3/18,ILI incidence,2026/3/22,2,CZ,quantile,0.45,19.50504862
2026/3/18,ILI incidence,2026/3/29,3,CZ,quantile,0.45,21.29860736
2026/3/18,ILI incidence,2026/4/5,4,CZ,quantile,0.45,23.28296975
2026/3/18,ILI incidence,2026/3/15,1,CZ,quantile,0.5,19.69008936
2026/3/18,ILI incidence,2026/3/22,2,CZ,quantile,0.5,21.30344227
2026/3/18,ILI incidence,2026/3/29,3,CZ,quantile,0.5,23.42355896
2026/3/18,ILI incidence,2026/4/5,4,CZ,quantile,0.5,25.61145659
2026/3/18,ILI incidence,2026/3/15,1,CZ,quantile,0.55,21.02087997
2026/3/18,ILI incidence,2026/3/22,2,CZ,quantile,0.55,23.10183593
2026/3/18,ILI incidence,2026/3/29,3,CZ,quantile,0.55,25.54851056
2026/3/18,ILI incidence,2026/4/5,4,CZ,quantile,0.55,27.93994343
2026/3/18,ILI incidence,2026/3/15,1,CZ,quantile,0.6,22.35692931
2026/3/18,ILI incidence,2026/3/22,2,CZ,quantile,0.6,24.90733608
2026/3/18,ILI incidence,2026/3/29,3,CZ,quantile,0.6,27.68185908
2026/3/18,ILI incidence,2026/4/5,4,CZ,quantile,0.6,30.27763148
2026/3/18,ILI incidence,2026/3/15,1,CZ,quantile,0.65,23.70364316
2026/3/18,ILI incidence,2026/3/22,2,CZ,quantile,0.65,26.72724795
2026/3/18,ILI incidence,2026/3/29,3,CZ,quantile,0.65,29.83223623
2026/3/18,ILI incidence,2026/4/5,4,CZ,quantile,0.65,32.63397923
2026/3/18,ILI incidence,2026/3/15,1,CZ,quantile,0.7,25.06673217
2026/3/18,ILI incidence,2026/3/22,2,CZ,quantile,0.7,28.56928877
2026/3/18,ILI incidence,2026/3/29,3,CZ,quantile,0.7,32.00876059
2026/3/18,ILI incidence,2026/4/5,4,CZ,quantile,0.7,35.01897865
2026/3/18,ILI incidence,2026/3/15,1,CZ,quantile,0.75,26.45239304
2026/3/18,ILI incidence,2026/3/22,2,CZ,quantile,0.75,30.44183256
2026/3/18,ILI incidence,2026/3/29,3,CZ,quantile,0.75,34.22132674
2026/3/18,ILI incidence,2026/4/5,4,CZ,quantile,0.75,37.44347206
2026/3/18,ILI incidence,2026/3/15,1,CZ,quantile,0.8,27.8675285
2026/3/18,ILI incidence,2026/3/22,2,CZ,quantile,0.8,32.35420752
2026/3/18,ILI incidence,2026/3/29,3,CZ,quantile,0.8,36.48095672
2026/3/18,ILI incidence,2026/4/5,4,CZ,quantile,0.8,39.91953725
2026/3/18,ILI incidence,2026/3/15,1,CZ,quantile,0.85,29.32002864
2026/3/18,ILI incidence,2026/3/22,2,CZ,quantile,0.85,34.31707606
2026/3/18,ILI incidence,2026/3/29,3,CZ,quantile,0.85,38.80024907
2026/3/18,ILI incidence,2026/4/5,4,CZ,quantile,0.85,42.46097948
2026/3/18,ILI incidence,2026/3/15,1,CZ,quantile,0.9,30.81914596
2026/3/18,ILI incidence,2026/3/22,2,CZ,quantile,0.9,36.34294177
2026/3/18,ILI incidence,2026/3/29,3,CZ,quantile,0.9,41.19397781
2026/3/18,ILI incidence,2026/4/5,4,CZ,quantile,0.9,45.08398787
2026/3/18,ILI incidence,2026/3/15,1,CZ,quantile,0.95,32.37601569
2026/3/18,ILI incidence,2026/3/22,2,CZ,quantile,0.95,38.4468525
2026/3/18,ILI incidence,2026/3/29,3,CZ,quantile,0.95,43.67992324
2026/3/18,ILI incidence,2026/4/5,4,CZ,quantile,0.95,47.80804578
2026/3/18,ILI incidence,2026/3/15,1,CZ,quantile,0.975,33.18027999
2026/3/18,ILI incidence,2026/3/22,2,CZ,quantile,0.975,39.53371304
2026/3/18,ILI incidence,2026/3/29,3,CZ,quantile,0.975,44.96413931
2026/3/18,ILI incidence,2026/4/5,4,CZ,quantile,0.975,49.21526853
2026/3/18,ILI incidence,2026/3/15,1,CZ,quantile,0.99,33.67223048
2026/3/18,ILI incidence,2026/3/22,2,CZ,quantile,0.99,40.19852133
2026/3/18,ILI incidence,2026/3/29,3,CZ,quantile,0.99,45.74966557
2026/3/18,ILI incidence,2026/4/5,4,CZ,quantile,0.99,50.07603522
2026/3/18,ILI incidence,2026/3/15,1,CZ,median,,19.69008936
2026/3/18,ILI incidence,2026/3/22,2,CZ,median,,21.30344227
2026/3/18,ILI incidence,2026/3/29,3,CZ,median,,23.42355896
2026/3/18,ILI incidence,2026/4/5,4,CZ,median,,25.61145659
2026/3/18,ILI incidence,2026/3/15,1,EE,quantile,0.01,49.3128069
2026/3/18,ILI incidence,2026/3/22,2,EE,quantile,0.01,206.2719888
2026/3/18,ILI incidence,2026/3/29,3,EE,quantile,0.01,53.64602747
2026/3/18,ILI incidence,2026/4/5,4,EE,quantile,0.01,126.8342304
2026/3/18,ILI incidence,2026/3/15,1,EE,quantile,0.025,50.75159659
2026/3/18,ILI incidence,2026/3/22,2,EE,quantile,0.025,207.8789717
2026/3/18,ILI incidence,2026/3/29,3,EE,quantile,0.025,55.34520039
2026/3/18,ILI incidence,2026/4/5,4,EE,quantile,0.025,128.8178592
2026/3/18,ILI incidence,2026/3/15,1,EE,quantile,0.05,53.10379908
2026/3/18,ILI incidence,2026/3/22,2,EE,quantile,0.05,210.5061444
2026/3/18,ILI incidence,2026/3/29,3,EE,quantile,0.05,58.1230899
2026/3/18,ILI incidence,2026/4/5,4,EE,quantile,0.05,132.060791
2026/3/18,ILI incidence,2026/3/15,1,EE,quantile,0.1,57.65711932
2026/3/18,ILI incidence,2026/3/22,2,EE,quantile,0.1,215.5917434
2026/3/18,ILI incidence,2026/3/29,3,EE,quantile,0.1,63.50044178
2026/3/18,ILI incidence,2026/4/5,4,EE,quantile,0.1,138.3383572
2026/3/18,ILI incidence,2026/3/15,1,EE,quantile,0.15,62.04153316
2026/3/18,ILI incidence,2026/3/22,2,EE,quantile,0.15,220.4886909
2026/3/18,ILI incidence,2026/3/29,3,EE,quantile,0.15,68.67831963
2026/3/18,ILI incidence,2026/4/5,4,EE,quantile,0.15,144.3830557
2026/3/18,ILI incidence,2026/3/15,1,EE,quantile,0.2,66.28960744
2026/3/18,ILI incidence,2026/3/22,2,EE,quantile,0.2,225.233361
2026/3/18,ILI incidence,2026/3/29,3,EE,quantile,0.2,73.69518403
2026/3/18,ILI incidence,2026/4/5,4,EE,quantile,0.2,150.2397857
2026/3/18,ILI incidence,2026/3/15,1,EE,quantile,0.25,70.42840261
2026/3/18,ILI incidence,2026/3/22,2,EE,quantile,0.25,229.8559774
2026/3/18,ILI incidence,2026/3/29,3,EE,quantile,0.25,78.58299267
2026/3/18,ILI incidence,2026/4/5,4,EE,quantile,0.25,155.945855
2026/3/18,ILI incidence,2026/3/15,1,EE,quantile,0.3,74.48099448
2026/3/18,ILI incidence,2026/3/22,2,EE,quantile,0.3,234.3823133
2026/3/18,ILI incidence,2026/3/29,3,EE,quantile,0.3,83.36899747
2026/3/18,ILI incidence,2026/4/5,4,EE,quantile,0.3,161.5330776
2026/3/18,ILI incidence,2026/3/15,1,EE,quantile,0.35,78.46757131
2026/3/18,ILI incidence,2026/3/22,2,EE,quantile,0.35,238.8349171
2026/3/18,ILI incidence,2026/3/29,3,EE,quantile,0.35,88.07704024
2026/3/18,ILI incidence,2026/4/5,4,EE,quantile,0.35,167.0292866
2026/3/18,ILI incidence,2026/3/15,1,EE,quantile,0.4,82.40625625
2026/3/18,ILI incidence,2026/3/22,2,EE,quantile,0.4,243.2340306
2026/3/18,ILI incidence,2026/3/29,3,EE,quantile,0.4,92.72852394
2026/3/18,ILI incidence,2026/4/5,4,EE,quantile,0.4,172.4594681
